fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478960/ERR478960_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478960/ERR478960_2.fastq.gz	ERR478960
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478965/ERR478965_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478965/ERR478965_2.fastq.gz	ERR478965
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478969/ERR478969_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478969/ERR478969_2.fastq.gz	ERR478969
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478971/ERR478971_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478971/ERR478971_2.fastq.gz	ERR478971
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478974/ERR478974_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478974/ERR478974_2.fastq.gz	ERR478974
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478975/ERR478975_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478975/ERR478975_2.fastq.gz	ERR478975
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478981/ERR478981_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478981/ERR478981_2.fastq.gz	ERR478981
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478993/ERR478993_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478993/ERR478993_2.fastq.gz	ERR478993
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478998/ERR478998_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR478/ERR478998/ERR478998_2.fastq.gz	ERR478998
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479009/ERR479009_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479009/ERR479009_2.fastq.gz	ERR479009
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479012/ERR479012_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479012/ERR479012_2.fastq.gz	ERR479012
fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479023/ERR479023_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR479/ERR479023/ERR479023_2.fastq.gz	ERR479023
