fastq_aspera	run_accession
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915093/SRR6915093_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915093/SRR6915093_2.fastq.gz	SRR6915093
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915103/SRR6915103_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915103/SRR6915103_2.fastq.gz	SRR6915103
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915106/SRR6915106_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915106/SRR6915106_2.fastq.gz	SRR6915106
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915108/SRR6915108_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915108/SRR6915108_2.fastq.gz	SRR6915108
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915111/SRR6915111_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915111/SRR6915111_2.fastq.gz	SRR6915111
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915112/SRR6915112_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/002/SRR6915112/SRR6915112_2.fastq.gz	SRR6915112
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915113/SRR6915113_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915113/SRR6915113_2.fastq.gz	SRR6915113
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915115/SRR6915115_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915115/SRR6915115_2.fastq.gz	SRR6915115
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915116/SRR6915116_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/006/SRR6915116/SRR6915116_2.fastq.gz	SRR6915116
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915118/SRR6915118_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/008/SRR6915118/SRR6915118_2.fastq.gz	SRR6915118
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915121/SRR6915121_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/001/SRR6915121/SRR6915121_2.fastq.gz	SRR6915121
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915123/SRR6915123_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/003/SRR6915123/SRR6915123_2.fastq.gz	SRR6915123
fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915125/SRR6915125_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR691/005/SRR6915125/SRR6915125_2.fastq.gz	SRR6915125
